"Y","date"
1709,1956
1646,1956.08333333333
1794,1956.16666666667
1878,1956.25
2173,1956.33333333333
2321,1956.41666666667
2468,1956.5
2416,1956.58333333333
2184,1956.66666666667
2121,1956.75
1962,1956.83333333333
1825,1956.91666666667
1751,1957
1688,1957.08333333333
1920,1957.16666666667
1941,1957.25
2311,1957.33333333333
2279,1957.41666666667
2638,1957.5
2448,1957.58333333333
2279,1957.66666666667
2163,1957.75
1941,1957.83333333333
1878,1957.91666666667
1773,1958
1688,1958.08333333333
1783,1958.16666666667
1984,1958.25
2290,1958.33333333333
2511,1958.41666666667
2712,1958.5
2522,1958.58333333333
2342,1958.66666666667
2195,1958.75
1931,1958.83333333333
1910,1958.91666666667
1730,1959
1688,1959.08333333333
1899,1959.16666666667
1994,1959.25
2342,1959.33333333333
2553,1959.41666666667
2712,1959.5
2627,1959.58333333333
2363,1959.66666666667
2311,1959.75
2026,1959.83333333333
1910,1959.91666666667
1762,1960
1815,1960.08333333333
2005,1960.16666666667
2089,1960.25
2617,1960.33333333333
2828,1960.41666666667
2965,1960.5
2891,1960.58333333333
2532,1960.66666666667
2363,1960.75
2216,1960.83333333333
2026,1960.91666666667
1804,1961
1773,1961.08333333333
2015,1961.16666666667
2089,1961.25
2627,1961.33333333333
2712,1961.41666666667
3007,1961.5
2880,1961.58333333333
2490,1961.66666666667
2237,1961.75
2205,1961.83333333333
1984,1961.91666666667
1868,1962
1815,1962.08333333333
2047,1962.16666666667
2142,1962.25
2743,1962.33333333333
2775,1962.41666666667
3028,1962.5
2965,1962.58333333333
2501,1962.66666666667
2501,1962.75
2131,1962.83333333333
2015,1962.91666666667
1910,1963
1868,1963.08333333333
2121,1963.16666666667
2268,1963.25
2690,1963.33333333333
2933,1963.41666666667
3218,1963.5
3028,1963.58333333333
2659,1963.66666666667
2406,1963.75
2258,1963.83333333333
2057,1963.91666666667
1889,1964
1984,1964.08333333333
2110,1964.16666666667
2311,1964.25
2785,1964.33333333333
3039,1964.41666666667
3229,1964.5
3070,1964.58333333333
2659,1964.66666666667
2543,1964.75
2237,1964.83333333333
2142,1964.91666666667
1962,1965
1910,1965.08333333333
2216,1965.16666666667
2437,1965.25
2817,1965.33333333333
3123,1965.41666666667
3345,1965.5
3112,1965.58333333333
2659,1965.66666666667
2469,1965.75
2332,1965.83333333333
2110,1965.91666666667
1910,1966
1941,1966.08333333333
2216,1966.16666666667
2342,1966.25
2923,1966.33333333333
3229,1966.41666666667
3513,1966.5
3355,1966.58333333333
2849,1966.66666666667
2680,1966.75
2395,1966.83333333333
2205,1966.91666666667
1994,1967
1952,1967.08333333333
2290,1967.16666666667
2395,1967.25
2965,1967.33333333333
3239,1967.41666666667
3608,1967.5
3524,1967.58333333333
3018,1967.66666666667
2648,1967.75
2363,1967.83333333333
2247,1967.91666666667
1994,1968
1941,1968.08333333333
2258,1968.16666666667
2332,1968.25
3323,1968.33333333333
3608,1968.41666666667
3957,1968.5
3672,1968.58333333333
3155,1968.66666666667
2933,1968.75
2585,1968.83333333333
2384,1968.91666666667
2057,1969
2100,1969.08333333333
2458,1969.16666666667
2638,1969.25
3292,1969.33333333333
3724,1969.41666666667
4652,1969.5
4379,1969.58333333333
4231,1969.66666666667
3756,1969.75
3429,1969.83333333333
3461,1969.91666666667
3345,1970
4220,1970.08333333333
4874,1970.16666666667
5064,1970.25
5951,1970.33333333333
6774,1970.41666666667
7997,1970.5
7523,1970.58333333333
7438,1970.66666666667
6879,1970.75
6489,1970.83333333333
6288,1970.91666666667
5919,1971
6183,1971.08333333333
6594,1971.16666666667
6489,1971.25
8040,1971.33333333333
9715,1971.41666666667
9714,1971.5
9756,1971.58333333333
8595,1971.66666666667
7861,1971.75
7753,1971.83333333333
8154,1971.91666666667
7778,1972
7402,1972.08333333333
8903,1972.16666666667
9742,1972.25
11372,1972.33333333333
12741,1972.41666666667
13733,1972.5
13691,1972.58333333333
12239,1972.66666666667
12502,1972.75
11241,1972.83333333333
10829,1972.91666666667
11569,1973
10397,1973.08333333333
12493,1973.16666666667
11962,1973.25
13974,1973.33333333333
14945,1973.41666666667
16805,1973.5
16587,1973.58333333333
14225,1973.66666666667
14157,1973.75
13016,1973.83333333333
12253,1973.91666666667
11704,1974
12275,1974.08333333333
13695,1974.16666666667
14082,1974.25
16555,1974.33333333333
17339,1974.41666666667
17777,1974.5
17592,1974.58333333333
16194,1974.66666666667
15336,1974.75
14208,1974.83333333333
13116,1974.91666666667
12354,1975
12682,1975.08333333333
14141,1975.16666666667
14989,1975.25
16159,1975.33333333333
18276,1975.41666666667
19157,1975.5
18737,1975.58333333333
17109,1975.66666666667
17094,1975.75
15418,1975.83333333333
14312,1975.91666666667
13260,1976
14990,1976.08333333333
15975,1976.16666666667
16770,1976.25
19819,1976.33333333333
20983,1976.41666666667
22001,1976.5
22337,1976.58333333333
20750,1976.66666666667
19969,1976.75
17293,1976.83333333333
16498,1976.91666666667
15117,1977
16058,1977.08333333333
18137,1977.16666666667
18471,1977.25
21398,1977.33333333333
23854,1977.41666666667
26025,1977.5
25479,1977.58333333333
22804,1977.66666666667
19619,1977.75
19627,1977.83333333333
18488,1977.91666666667
17243,1978
18284,1978.08333333333
20226,1978.16666666667
20903,1978.25
23768,1978.33333333333
26323,1978.41666666667
28038,1978.5
26776,1978.58333333333
22886,1978.66666666667
22813,1978.75
22404,1978.83333333333
19795,1978.91666666667
18839,1979
18892,1979.08333333333
20823,1979.16666666667
22212,1979.25
25076,1979.33333333333
26884,1979.41666666667
30611,1979.5
30228,1979.58333333333
26762,1979.66666666667
25885,1979.75
23328,1979.83333333333
21930,1979.91666666667
21433,1980
22369,1980.08333333333
24503,1980.16666666667
25905,1980.25
30605,1980.33333333333
34984,1980.41666666667
37060,1980.5
34502,1980.58333333333
31793,1980.66666666667
29275,1980.75
28305,1980.83333333333
25248,1980.91666666667
27730,1981
27424,1981.08333333333
32684,1981.16666666667
31366,1981.25
